ship_id,ship_type,route_id,month,distance,fuel_type,weather_conditions,engine_efficiency,emission_efficiency,efficiency_distance,distance_bin,efficiency_distance_log
NG001,1,Warri-Bonny,January,0.23445566075198024,1,Stormy,0.8862635162194632,0.6223836234189841,0.2077894982956076,101-200km,0.18879182795040833
NG001,1,Port Harcourt-Lagos,February,0.22663907873011893,1,Moderate,0.9199038846615939,0.7289415622811175,0.20848616893996122,101-200km,0.18936847627998868
NG001,1,Port Harcourt-Lagos,March,0.09868957301398207,1,Calm,0.7048458149779733,0.732073969218054,0.06956093252086838,0-100km,0.06724822082146677
NG001,1,Port Harcourt-Lagos,April,0.10784375195937052,0,Stormy,0.6972366840208251,0.4367058372680246,0.07519262000851586,0-100km,0.07249982693182638
NG001,1,Lagos-Apapa,May,0.23876105084958302,1,Calm,0.6247496996395672,0.4447206232136782,0.1491658948039044,101-200km,0.13903637034525526
NG001,1,Port Harcourt-Lagos,June,0.13762618345977806,0,Stormy,0.11253504205046028,0.7668838080888456,0.015487768342890484,0-100km,0.015369057005535194
NG001,1,Warri-Bonny,July,0.13708278470959517,1,Moderate,0.9463356027232677,0.7134191393797682,0.12972631969113868,0-100km,0.12197540842671847
NG001,1,Warri-Bonny,August,0.051685581123163425,0,Moderate,0.8446135362434917,0.09952301616935255,0.04365434144523492,0-100km,0.04272834406816479
NG001,1,Escravos-Lagos,September,0.20139193679854533,0,Calm,0.13616339607529016,0.1470868543491255,0.02742221005667013,101-200km,0.02705295654821563
NG001,1,Lagos-Apapa,October,0.16646811712333062,1,Moderate,0.9463356027232677,0.055106965069233786,0.1575347059521146,0-100km,0.14629249007269812
NG001,1,Port Harcourt-Lagos,November,0.27132317595669525,1,Stormy,0.26111333600320386,0.9440626497107143,0.07084609960903697,101-200km,0.0684490832960509
NG001,1,Escravos-Lagos,December,0.06924154074445629,1,Calm,0.5839006808169804,0.5806703400646809,0.04043018278150472,0-100km,0.039634264918869094
NG002,0,Warri-Bonny,January,0.15037515413714547,1,Moderate,0.6211453744493389,0.18886996963348146,0.09340483142439428,0-100km,0.0892965261852919
NG002,0,Escravos-Lagos,February,0.2546241143645369,1,Calm,0.5410492591109328,0.47836851637342015,0.13776418842871013,101-200km,0.12906509843998604
NG002,0,Escravos-Lagos,March,0.06598114824335904,0,Calm,0.17260712855426474,0.3920413423460003,0.011388816536999474,0-100km,0.011324452194068876
NG002,0,Lagos-Apapa,April,0.3707233473363011,0,Moderate,0.7749299158990786,0.9549905976999455,0.2872846123731447,101-200km,0.25253504820032935
NG002,0,Port Harcourt-Lagos,May,0.10903504921938678,0,Stormy,0.3203844613536244,0.795525958919785,0.03493313551281916,0-100km,0.034336821261188005
NG002,0,Port Harcourt-Lagos,June,0.3408155161243129,0,Calm,0.43331998398077687,0.09759838649319974,0.14768217398738745,101-200km,0.13774440763944223
NG002,0,Warri-Bonny,July,0.29333082533910165,1,Stormy,0.3119743692430914,0.7106848644218582,0.09151169921472166,101-200km,0.08756361542474037
NG002,0,Port Harcourt-Lagos,August,0.21106861454218653,0,Calm,0.2430917100520622,0.35502639866056107,0.05130903044737969,101-200km,0.05003608335385256
NG002,0,Lagos-Apapa,September,0.3626350659393483,0,Calm,0.7168602322787341,0.5179915355111389,0.2599586576016953,101-200km,0.23107890899785402
NG002,0,Escravos-Lagos,October,0.2593057035968817,0,Moderate,0.5546655987184619,0.055245495583235105,0.14382795333667642,101-200km,0.13438049120786183
NG002,0,Lagos-Apapa,November,0.2811461533638472,0,Stormy,0.8834601521826189,0.41874232584812265,0.24838142343638234,101-200km,0.22184785100609944
NG002,0,Port Harcourt-Lagos,December,0.3213367609254498,0,Calm,0.2555066079295152,0.6182584783037246,0.08210366578711926,101-200km,0.07890698524994341
NG003,1,Escravos-Lagos,January,0.19413965347879697,1,Stormy,0.052863436123347984,0.2774877267231295,0.010262889170685296,101-200km,0.010210583292173218
NG003,1,Lagos-Apapa,February,0.05237527953685706,1,Moderate,0.06607929515418487,0.7628335594189162,0.0034609215552989167,0-100km,0.003454946348804748
NG003,1,Port Harcourt-Lagos,March,0.030302840303467294,0,Calm,0.4613536243492189,0.13638325113186056,0.01398032520208022,0-100km,0.013883501826980758
NG003,1,Port Harcourt-Lagos,April,0.046314293477125006,0,Moderate,0.9463356027232677,0.5476418145879238,0.0438288648323774,0-100km,0.04289555344932222
